#	Company
1	Lockheed Martin Corp.
2	Boeing
3	Northrop Grumman Corp.
4	Raytheon
5	General Dynamics Corp.
6	BAE Systems
7	Airbus Group
8	BAE Systems Inc. (BAE Systems UK)
9	Leonardo
10	Almaz-Antey
11	Thales
12	United Technologies Corp.
13	L3 Technologies
14	Huntington Ingalls Industries
15	Honeywell International
16	United Aircraft Corp.
17	Leidos
18	Harris Corp.
19	United Shipbuilding Corp.
20	Booz Allen Hamilton
21	Rolls-Royce
22	Naval Group
23	Rheinmetall
24	MBDA
25	General Electric
26	Mitsubishi Heavy Industries
27	Tactical Missiles Corp.
28	Textron
29	Elbit Systems
30	CACI International
31	Saab
32	Safran
33	Sandia Corp. (Lockheed Martin USA)
34	Babcock International Group
35	United Engine Corp.
36	Dassault Aviation Groupe
37	Science Applications International Corp.
38	AECOM
39	General Atomics
40	Hindustan Aeronautics
41	Airbus Helicopters Inc (Airbus Group WEU)
42	Israel Aerospace Industries
43	High Precision Systems
44	Rockwell Collins
45	KBR
46	Perspecta
47	Rafael
48	Russian Electronics
49	Hanwha Aerospace
50	CEA
51	Kawasaki Heavy Industries
52	Bell Helicopter Textron (Textron USA)
53	Bechtel Corp.
54	Fincantieri
55	Oshkosh Corp.
56	Russian Helicopters
57	KRET
58	ASELSAN
59	Krauss-Maffei Wegmann
60	Indian Ordnance Factories
61	ThyssenKrupp
62	Cobham
63	DynCorp International
64	Korea Aerospace Industries
65	ST Engineering
66	Bharat Electronics
67	ManTech International Corp.
68	UralVagonZavod
69	Jacobs Engineering Group
70	Fluor Corp.
71	LIG Nex1
72	TransDigm Group
73	GKN (Melrose Industries UK)
74	Melrose Industries
75	United Launch Alliance
76	UkrOboronProm
77	Fujitsu
78	Serco Group
79	PGZ
80	Teledyne Technologies
81	Navantia
82	Hensoldt
83	Vectrus
84	Aerojet Rocketdyne
85	Austal USA (Austal Australia)
86	Austal
87	Sierra Nevada Corp.
88	IHI Corp.
89	Nexter
90	Turkish Aerospace Industries
91	BWX Technologies
92	Engility
93	CAE
94	MIT
95	Meggitt
96	Curtiss-Wright Corp.
97	The Aerospace Corp.
98	Devonport Royal Dockyard (Babcock International Group UK)
99	Ball Corp.
100	Moog
101	QinetiQ
102	RUAG
103	ViaSat
104	Mitsubishi Electric Corp.
105	Arconic
106	NEC Corp.
107	Amphenol Corp.
108	EADS
109	Pratt & Whitney (United Technology Corp. USA)
110	EADS Cassidian (EADS)
111	Sikorsky Aircraft Corp. (United Technologies Corp. USA)
112	Changhe Aircraft Industries Corporation (CAIC) 
113	Chengdu Aerospace Corporation
114	DCNS
115	China Aviation Industry Corporation II (AVIC II)
116	Rostvertol (Russian Helicopters Russia)
117	ITT Exelis
118	DRS Technologies
119	China Electronics Technology Group Corporation (CETC) 
120	Eurocopter Group (EADS)
121	Computer Sciences Corp.
122	Shanghai Aircraft Design and Research Institute (SADRI)
123	Shanghai Aircraft Research Institute (SARI)
124	Shanghai Aircraft Manufacturing Company
125	United Defense Industries
126	Shanghai Aircraft Manufacturing Factory
127	Shenyang Aircraft Corporation
128	Snecma Groupe
129	Xi'an Aircraft Company Limited
130	Commercial Aircraft Corporation of China, Ltd.
131	China National Aero-Technology Import & Export Corporation
132	China National Electronics Import & Export Corporation (CEIEC)
133	Electronic Data Systems
134	China National Nuclear Corporation
135	China Poly Group
136	Rheinmetall DeTec (Rheinmetall Germany)
137	China Precision Machinery Import-Export Corporation
138	Frontier Services Group
139	CITIC Group Corporation Ltd
140	China International Trust Investment Corporation 
141	Guizhou Aircraft Industry Corporation 
142	CSRA
143	Harbin Aircraft Industry (Group) Co., Ltd. (HAIG),
144	Harbin Aircraft Manufacturing Corporation (HAMC)
145	Orbital ATK
146	DRS Technologies (Finmeccanica Italy)
147	Harbin First Machinery Building Group Ltd
148	Hongdu Aviation Industry Group Ltd. (HAIG)
149	URS Corp.
150	China Nanchang Aircraft Manufacturing Corporation
151	Hudong–Zhonghua Shipbuilding
152	Inner Mongolia First Machinery Group Corporation 
153	China Ordnance Industries Group Corporation Limited
154	China North Industries Group Corporation Limited
155	Poly Technologies
156	EADS Astrium (EADS)
157	Shaanxi Aircraft Corporation 
158	Sichuan Lantian Helicopter Company Limited 
159	Xi'an Aircraft Industrial Corporation
160	Hanwha Techwin
161	Aviation Industry Corporation of China (AVIC) 
162	AVIC Aircraft Corporation Ltd.
163	AVIC Tianshui Aviation Industries
164	Guizhou Aviation Aircraft Co Ltd
165	MBDA France (MBDA Trans-European)
166	Titan Corp.
167	Alliant Techsystems
168	Textron Systems (Textron USA)
169	Sukhoi
170	Goodrich Corp.
171	EADS Astrium (EADS Netherlands)
172	Sukhoi (United Aircraft Corp. Russia)
173	New Izar
174	SAGEM Groupe
175	GKN
176	United Instrument Manufacturing Corp.
177	Oshkosh Truck Corp.
178	Dyncorp (Computer Sciences Corp. USA)
179	Alenia Aeronautica (Finmeccanica Italy)
180	Irkut (United Aircraft Corp. Russia)
181	MBDA UK (MBDA Trans-European)
182	Vencore
183	DXC
184	Hewlett Packard Enterprise Company
185	EDO
186	Embraer
187	Devonport Royal Dockyard (Babcock Group UK)
188	DSME
189	Precision Castparts Corp.
190	Cubic Corp.
191	BAE Systems Australia (BAE Systems UK)
192	Irkut
193	Dassault Aviation (Dassault Aviation Groupe)
194	Selex Galileo Ltd (Finmeccanica Italy)
195	UMPO (United Engine Corp. Russia)
196	Kongsberg Gruppen
197	Sevmash (United Shipbuilding Corp. Russia)
198	Devonport Royal Dockyard (Babcock UK)
199	Chemring Group
200	VT Group
201	Samsung Techwin
202	AM General
203	Thales Air Defence (Thales France)
204	Navistar
205	ASC
206	Thales Systèmes Aéroportés (Thales France)
207	Force Protection
208	Indra
209	Daimler Chrysler Off-Highway (DaimlerChrysler Germany)
210	Patria Group
211	Selex Galileo SpA (Finmeccanica Italy)
212	Chugach Alaska Corporation
213	SELEX Elsag (Finmeccanica Italy)
214	Finmeccanica
215	L-3 Communications
216	AAR CORP
217	MBDA Italia (MBDA Trans-European)
218	GenCorp
219	Thales Australia (Thales France)
220	Bumar Group
221	Ultra Electronics Group
222	United States Marine Repair (United Defense USA)
223	Diehl
224	RTI Group
225	UMPO
226	Galileo Avionica (Finmeccanica Italy)
227	Plasan Sasa
228	Doosan
229	Sikorsky Aircraft Corp. (Lockheed Martin USA)
230	Ceradyne
231	AgustaWestland (Finmeccanica Italy)
232	ARINC
233	Doosan DST (Doosan South Korea)
234	Mitre Corp.
235	Iveco (FIAT)
236	FIAT
237	BAE Systems Hägglunds (BAE Systems UK)
238	Tenix
239	RAC MiG (United Aircraft Corp. Russia)
240	Santa Barbara Sistemas (General Dynamics USA)
241	Selex Galileo (Finmeccanica Italy)
242	Marine United
243	Denel
244	Hewlett-Packard Company
245	MTU Aero Engines
246	Israel Military Industries
247	Tetra Tech
248	Selex ES (Finmeccanica Italy)
249	Alenia Aermacchi (Finmeccanica Italy)
250	ITT Corporation
251	General Dynamics Land Systems Canada (General Dynamics USA)
252	Avio
253	Devonport Management (Halliburton Comp. USA)
254	Devonport Royal Dockyard (Devonport Management UK)
255	FiatAvio (Fiat Italy)
256	Airbus Industrie (EADS)
257	Veridian Corp.
258	Ishikawajima-Harima Heavy Industries
259	AgustaWestland Ltd (Finmeccanica Italy)
260	RAC MiG
261	Vought Aircraft Industries
262	United Industrial
263	Raytheon Aerospace Company
264	Areva
265	Triumph Group
266	Silicon Graphics
267	Pilatus Aircraft
268	Hyundai Heavy Industries
269	Severnaya Verf
270	Aerokosmicheskoe Oborudovanie
271	Westland Helicopters (Finmeccanica Italy)
272	Halliburton
273	Kellogg Brown & Root (Halliburton USA)
274	Agility
275	DCN
276	ITT Industries
277	Selex Sensors & Airborne Systems (Finmeccanica Italy)
278	Thales Nederland (Thales France)
279	IHI Marine United (IHI)
280	SNECMA Groupe
281	DynCorp (Computer Sciences Corp. USA)
282	Armor Holdings
283	Brown & Root Services (Halliburton)
284	Shaw Group
285	Alion Science & Technology Corp.
286	Selex Communications (Finmeccanica Italy)
287	Smiths Group
288	Hawker Beechcraft Corp.
289	Esterline Technologies Corp.
290	Salut
291	VSE Corp.
292	Izar
293	L-3 AeroTech (L-3 Communications USA)
294	Devonport Management (Halliburton USA)
295	Alvis
296	MTU Aero Engines (DaimlerChrysler Germany)
297	Israel Aircraft Industries
298	Ericsson
299	Ericsson Microwave (Ericsson)
300	Toshiba Corp.
301	MTU Friedrichshafen (DaimlerChrysler Germany)
302	Anteon International Corp
303	Elisra
304	Engineered Support Systems
305	EADS Space (EADS Netherlands)
306	
307	Although several Chinese arms-producing companies are large enough to rank among the SIPRI Top 100, it has not been possible to include them because of a lack of comparable and sufficiently accurate data.
308	GIAT Industries
309	TRW (Northrop Grumman Corp. USA)
310	Admiralty Shipyards
311	Stewart & Stevenson
312	Sevmash
313	Direction des Constructions Navales
314	DynCorp
315	DaimlerChrysler
316	ADI
317	Selex Sistemi Integrati (Finmeccanica Italy)
318	KnAAPO
319	General Motors of Canada Company (General Motors USA)
320	General Motors Company
