Title,Organization_name,Type,Traded as,ISIN,Industry,Predecessors,Headquarters,Area served,Key people,Products,Revenue,Operating income,Net income,Total assets,Total equity,Number of employees,Parent,Subsidiaries,Website
Google,Google LLC,Subsidiary,,,"['Internet', ' Cloud computing', ' Computer software', ' Computer hardware', ' Artificial intelligence', ' Advertising']",,"1600 Amphitheatre Parkway, Mountain View, California, U.S.",Worldwide,"['Sundar Pichai (CEO)', ' Ruth Porat (CFO)']",List of Google products,"66,001,000,000 US dollar (2014)","16,496,000,000 US dollar (2014)","14,444,000,000 United States dollar (2014)","131,133,000,000 US dollar (2014)",,"114,096 (Q3 2019 [update])",Alphabet Inc. (2015–present),['List of subsidiaries'],google.com
Atlas Elektronik,ATLAS ELEKTRONIK GmbH,GmbH,,,['Defence Marine electronics Marine engineering'],,"Bremen, Germany",,['Chairman: Dr. Peter Feldhaus'],,,,,,,,ThyssenKrupp Marine Systems,,www.atlas-elektronik.com/
BMW,Bayerische Motoren Werke AG,Public (Aktiengesellschaft),FWB : BMW,DE0005190003,['Automotive'],Rapp Motorenwerke Bayerische Flugzeugwerke Fahrzeugfabrik Eisenach,"Munich, Germany",Worldwide,"['Oliver Zipse', ' Chairman of the Board of Management Norbert Reithofer', ' Chairman of the Supervisory Board']","Cars, motorcycles",€ 97.48 billion (2018),€9.12 billion (2018),€7.20 billion (2018),€208.98 billion (2018),€57.55 billion (2018),"134,682 (2018)",,,bmwgroup.com
University of Washington,University of Washington,Public flagship Space grant Sea-grant,,,,,,,,,,,,,,,,,www.washington.edu
Carnegie Mellon University,Carnegie Mellon University,Private university,,,,,,,,,,,,,,,,,www.cmu.edu
Cornel Marin,,,,,,,,,,,,,,,,,,,
Greg Mueller,,,,,,,,,,,,,,,,,,,
Danone,Danone S.A.,Société anonyme,Euronext Paris : BN OTCQX : DANOY CAC 40 Component,FR0000120644,['Food processing'],,"Boulevard Haussmann 9th arrondissement, Paris, France",Worldwide,"['Franck Riboud (Honorary Chairman)', ' Emmanuel Faber (Chairman and CEO)']","Baby food, coffee, dairy products, dairy-free products, plant-based products, bottled water, dietary supplements",€ 24.65 billion (2018),€2.74 billion (2018),€2.35 billion (2018),€44.18 billion (2018),€16.47 billion (2018),"105,783 (2018)",,['The Dannon Company (US) Evian Danone North America'],danone.com
University of Alabama in Huntsville,The University of Alabama in Huntsville,Public space-grant research university,,,,,,,,,,,,,,,,,www.uah.edu
"Woodward, Inc.","Woodward, Inc.",Public,NASDAQ : WWD (WGOV prior to 2011) S&P 400 Component,US9807451037,"['Aerospace', ' Industrial']",,"Fort Collins, Colorado, United States",Worldwide,"['Thomas A. Gendron', ' (Chairman', ' President', ' & CEO) ', ' Robert F. Weber', ' Jr.', ' (Vice Chairman & CFO)']",Control systems and components,"US$ 2.10 billion, (FY SEP 2017)","US$ 280.18 million, (FY SEP 2017)","US$ 200.51 million, (FY SEP 2017)","US$ 2.76 billion, (FY SEP 2017)","US$ 1.37 billion, (FY SEP 2017)","~9,000 (FY MAY 2019)",,,www.woodward.com
University of Houston System,University of Houston System,State university system,,,,,,,,,,,,,,,,,uhsystem.edu
University of Oklahoma,University of Oklahoma,Flagship Public Space-grant,,,,,,,,,,,,,,,,,www.ou.edu
University of California,University of California,Public university system,,,,,,,,,,,,,,,,,universityofcalifornia.edu
University of Montpellier,University of Montpellier,Public,,,,,,,,,,,,,,,,,umontpellier.fr
"Allergan, Inc.","Allergan, Inc.",,,,"['Eye care', ' neurosciences', ' medical dermatology', ' medical aesthetics', ' breast enhancement', ' obesity intervention and urologics']",,"Irvine, California, U.S",Over 100 Countries,"['Paul Bisaro', ' Executive Chairman']",,$6.2 billion (2013),,,,,11400 (2013),Allergan plc,,www.allergan.com
TU Dresden,TU Dresden,Public,,,,,,,,,,,,,,,,,tu-dresden.de
University of Pittsburgh,University of Pittsburgh,state-related research university,,,,,,,,,,,,,,,,,www.pitt.edu
Acer Inc.,Acer Inc.,Public,TWSE : 2353 LSE : ACID,TW0002353000,['Computer hardware Electronics'],,"Xizhi, New Taipei, Taiwan",Worldwide,['Stan Shih (Honorary Chairman) George Huang (Chairman) Jason Chen (CEO and President)'],"Desktops, laptops, netbooks, servers, smartphones, tablet computers, storage, handhelds, monitors, televisions LED, LCD & Plasma, video projectors, e-business",NT$ 237.275 billion (2017),NT$3.670 billion (2017),NT$2.797 billion (2017),NT$157.613 billion (2017),NT$57.319 billion (2017),"7,967 (2015)",,"['Gateway', ' Inc. (now-defunct) Packard Bell eMachines (now-defunct) Escom (now-defunct)']",www.acer.com
Durham University,Durham University,Cultural,,,,,,,,,,,,,,,,,dur.ac.uk
